SCTID	FullySpecifiedName	DateOfStatusChange	SubsetStatus	SNOMEDStatus
39539005	Abnormal renal function (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
79195003	Abnormal retinal correspondence (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
56925008	Abnormal sexual function (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
274708000	Abnormal sputum (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
106102002	Abnormal urinary product (finding)	11/1/2006	ACTIVE	ACTIVE (Current)
84800009	Abnormal urinary stream (finding)	1/1/2008	ACTIVE	ACTIVE (Current)
102866000	Abnormal urine (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
301822002	Abnormal vaginal bleeding (finding)	10/1/2006	ACTIVE	ACTIVE (Current)
7973008	Abnormal vision (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
161833006	Abnormal weight gain (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
267024001	Abnormal weight loss (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
274887001	Abnormality of alpha-fetoprotein (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
38074009	Abnormality of cortisol-binding globulin (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
1639007	Abnormality of organs AND/OR soft tissues of pelvis affecting pregnancy (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
47344007	Abnormality of secretion of gastrin (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
11178005	Abnormality of secretion of glucagon (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
417713005	Abnormality of surgical wound (disorder)	4/1/2007	ACTIVE	ACTIVE (Current)
341009	ABO incompatibility reaction (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
3885002	ABO isoimmunization affecting pregnancy (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
70317007	Abortion (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
373908001	Abortion complicated by damage to pelvic organs AND/OR tissues (disorder)	12/1/2006	ACTIVE	ACTIVE (Current)
111426003	Abortion complicated by delayed AND/OR excessive hemorrhage (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
18119004	Abortion complicated by embolism (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
373891000	Abortion complicated by genital-pelvic infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111429005	Abortion complicated by metabolic disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
10123006	Abortion complicated by renal failure (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
50554000	Abortion complicated by shock (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
43285004	Abortion in third trimester (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
371332008	Abortion with complication (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
5434002	Abortion, 1 month (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
25047000	Abortion, 4 months (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
399963005	Abrasion (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
400181003	Abrasion AND/OR friction burn (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
78360004	Abrasion AND/OR friction burn of ankle with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
41772008	Abrasion AND/OR friction burn of ankle without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
65523004	Abrasion AND/OR friction burn of axilla without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
75767000	Abrasion AND/OR friction burn of cheek without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
61383005	Abrasion AND/OR friction burn of ear with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
6733004	Abrasion AND/OR friction burn of ear without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111712008	Abrasion AND/OR friction burn of elbow with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
68058009	Abrasion AND/OR friction burn of elbow without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111703006	Abrasion AND/OR friction burn of face with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
66176005	Abrasion AND/OR friction burn of face without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
70098006	Abrasion AND/OR friction burn of finger without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
269202001	Abrasion AND/OR friction burn of foot AND/OR toe, infected (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
24328004	Abrasion AND/OR friction burn of foot without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
26156003	Abrasion AND/OR friction burn of forearm without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
49524007	Abrasion AND/OR friction burn of groin with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
30148002	Abrasion AND/OR friction burn of groin without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
60203004	Abrasion AND/OR friction burn of gum with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
2825006	Abrasion AND/OR friction burn of gum without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
40762003	Abrasion AND/OR friction burn of hand without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211306000	Abrasion AND/OR friction burn of hand, infected (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
8748000	Abrasion AND/OR friction burn of hip with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
88016001	Abrasion AND/OR friction burn of hip without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
39835005	Abrasion AND/OR friction burn of leg with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
53625001	Abrasion AND/OR friction burn of leg without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
10920005	Abrasion AND/OR friction burn of lip with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
63811003	Abrasion AND/OR friction burn of lip without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
84278006	Abrasion AND/OR friction burn of neck with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
54345007	Abrasion AND/OR friction burn of neck without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
72512006	Abrasion AND/OR friction burn of nose with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
30742008	Abrasion AND/OR friction burn of nose without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
50293005	Abrasion AND/OR friction burn of penis with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
18823009	Abrasion AND/OR friction burn of penis without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
26652002	Abrasion AND/OR friction burn of scalp with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
62603000	Abrasion AND/OR friction burn of scalp without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
10995009	Abrasion AND/OR friction burn of scapular region with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
84204007	Abrasion AND/OR friction burn of scrotum with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
57971009	Abrasion AND/OR friction burn of scrotum without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
64831005	Abrasion AND/OR friction burn of shoulder with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
90819008	Abrasion AND/OR friction burn of shoulder without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
76531002	Abrasion AND/OR friction burn of testis with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
9090007	Abrasion AND/OR friction burn of testis without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
61341000	Abrasion AND/OR friction burn of thigh with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
56809002	Abrasion AND/OR friction burn of thigh without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
714002	Abrasion AND/OR friction burn of toe with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
34283004	Abrasion AND/OR friction burn of toe without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
78794000	Abrasion AND/OR friction burn of trunk without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
66371007	Abrasion AND/OR friction burn of upper arm with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
56842001	Abrasion AND/OR friction burn of upper arm without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
52895001	Abrasion AND/OR friction burn of vagina with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
51623004	Abrasion AND/OR friction burn of vagina without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
44690000	Abrasion AND/OR friction burn of vulva with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
36821007	Abrasion AND/OR friction burn of vulva without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
63848007	Abrasion AND/OR friction burn of wrist with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
23072002	Abrasion AND/OR friction burn of wrist without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
82117004	Abrasion AND/OR friction burn with infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
66097008	Abrasion AND/OR friction burn without infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
283050005	Abrasion of eye region (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
231815005	Abrasion of eyelid (disorder)	1/1/2008	ACTIVE	ACTIVE (Current)
211402004	Abrasion of foot (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211258009	Abrasion of forearm, infected (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
110164000	Abrasion of forehead (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
283059006	Abrasion of hand (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
283049005	Abrasion of head (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
283062009	Abrasion of lower limb (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
283055000	Abrasion of neck (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
110162001	Abrasion of oropharynx (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
283060001	Abrasion of pelvic region (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
110163006	Abrasion of tongue (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
110161008	Abrasion of tonsil (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211320007	Abrasion or friction burn of finger, infected (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211256008	Abrasion or friction burn of lower arm, infected (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211336009	Abrasion or friction burn of lower limb, infected (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211196004	Abrasion or friction burn of shoulder and upper arm, infected (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211053006	Abrasion or friction burn of trunk, infected (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211042000	Abrasion, back (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211039006	Abrasion, chest wall (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211193007	Abrasion, clavicular area (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211251003	Abrasion, elbow area (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
211317004	Abrasion, finger (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211252005	Abrasion, forearm area (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211332006	Abrasion, knee (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211190005	Abrasion, scapular area (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
211189001	Abrasion, shoulder area (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
211403009	Abrasion, toe (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
128477000	Abscess (disorder)	5/6/2006	ACTIVE	ACTIVE (Current)
427787004	Abscess in epidural space of cervical spine (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
429437003	Abscess in epidural space of lumbar spine (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
427916006	Abscess in epidural space of thoracic spine (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
80437003	Abscess of abdominal wall (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
58196009	Abscess of ankle (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
62224002	Abscess of appendix (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
13802001	Abscess of axilla (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
67624004	Abscess of Bartholin's gland (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
128220004	Abscess of bone of skull (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
76782002	Abscess of bone, except accessory sinus, jaw AND/OR mastoid (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
28432003	Abscess of breast (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
55704005	Abscess of breast, associated with childbirth (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
122862008	Abscess of bursa (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
64576003	Abscess of buttock (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
40458008	Abscess of chest wall (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
53502009	Abscess of chin (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
55399009	Abscess of digit (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
85833008	Abscess of esophagus (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
72899006	Abscess of external cheek (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
60350006	Abscess of external nose (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
76126009	Abscess of eyelid (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
200751004	Abscess of face (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
398319002	Abscess of fallopian tube (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
43522000	Abscess of female pelvis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
21092002	Abscess of finger (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
12115003	Abscess of foot, except toe (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
58964002	Abscess of forearm (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
33134003	Abscess of forehead (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
79216009	Abscess of groin (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
3633001	Abscess of hand (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
426957007	Abscess of hard palate (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
7329003	Abscess of head, except face (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
425548001	Abscess of heart (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
91541006	Abscess of heel (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
736004	Abscess of hip (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
24557004	Abscess of intestine (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
16119006	Abscess of jaw (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
26883000	Abscess of knee (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
33924006	Abscess of larynx (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
28691000	Abscess of leg, except foot (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
200755008	Abscess of limb (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
82770004	Abscess of lip (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
27916005	Abscess of liver (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
73452002	Abscess of lung (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
10321002	Abscess of mastoid (disorder)	5/6/2006	ACTIVE	ACTIVE (Current)
42522007	Abscess of mediastinum (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
45629003	Abscess of nasopharynx (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
6284004	Abscess of neck (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
8414002	Abscess of nose (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
54138003	Abscess of omentum (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
81546003	Abscess of oral tissue (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
39828002	Abscess of orbit (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
109791007	Abscess of palate (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
69643006	Abscess of pancreas (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
76035004	Abscess of pectoral region (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
36029005	Abscess of penis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
35708002	Abscess of perineum (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
109242000	Abscess of periorbital region (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
73962000	Abscess of peritoneum (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
59707005	Abscess of pharynx (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
62206004	Abscess of pituitary (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
8725005	Abscess of prostate (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
80483009	Abscess of salivary gland (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
31399009	Abscess of scalp (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
27717006	Abscess of scrotum (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
17354003	Abscess of shoulder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
31928004	Abscess of skin AND/OR subcutaneous tissue (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
78620007	Abscess of skin with lymphangitis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111184007	Abscess of temple region (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
122864009	Abscess of tendon (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
95593001	Abscess of testis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
3507004	Abscess of thigh (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
102452004	Abscess of thyroid (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111183001	Abscess of toe (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
44283002	Abscess of tongue (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
49298003	Abscess of trunk (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
63870005	Abscess of umbilicus (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
67878002	Abscess of upper arm (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
51152000	Abscess of vocal cords (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
69430001	Abscess of vulva (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
36281004	Abscess of wrist (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
239951004	Abscess, contracture or calcification of bursa or tendon (disorder)	9/1/2006	ACTIVE	ACTIVE (Current)
249737005	Absence of arm (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
248802009	Absence of breast (finding)	10/1/2006	ACTIVE	ACTIVE (Current)
249435003	Absence of larynx (finding)	11/1/2006	ACTIVE	ACTIVE (Current)
275507003	Absence of lung (finding)	3/1/2008	ACTIVE	ACTIVE (Current)
275349007	Absence of skull bone (finding)	10/1/2006	ACTIVE	ACTIVE (Current)
79631006	Absence seizure (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
249760002	Absent fingertips (finding)	1/1/2008	ACTIVE	ACTIVE (Current)
248820000	Absent nipple (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
37280007	Absent reflex (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
112066009	Absent renal function (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
191928000	Abuse of antidepressant drug (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
280982009	Abuse of laxatives (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
231459008	Abuse of nonpsychotropic analgesic drugs (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
231458000	Abuse of steroids (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
192123006	Academic underachievement disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
2496007	Acalculia (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
231896005	Acanthamoeba keratitis (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
402599005	Acanthosis nigricans (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
84648007	Acardiac monster (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
187214007	Acariasis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
233844002	Accelerated coronary artery disease in transplanted heart (disorder)	2/1/2007	ACTIVE	ACTIVE (Current)
