ICD_9_Code 	ICD_9_Desc 
793.91	Image test inconclusive due to excess body fat
793.99	Other nonspecific abnormal findings on radiological and other examinations of body structure
794.01	Nonspecific abnormal echoencephalogram
794.02	Nonspecific abnormal electroencephalogram [EEG]
794.09	Other nonspecific abnormal results of function study of brain and central nervous system
794.1	Nonspecific abnormal response to unspecified nerve stimulation
794.11	Nonspecific abnormal retinal function studies
794.12	Nonspecific abnormal electro-oculogram [EOG]
794.13	Nonspecific abnormal visually evoked potential
794.14	Nonspecific abnormal oculomotor studies
794.15	Nonspecific abnormal auditory function studies
794.16	Nonspecific abnormal vestibular function studies
794.17	Nonspecific abnormal electromyogram [EMG]
794.19	Other nonspecific abnormal results of function study of peripheral nervous system and special senses
794.31	Nonspecific abnormal electrocardiogram [ECG] [EKG]
795	Abnormal glandular Papanicolaou smear of cervix
795.01	Papanicolaou smear of cervix with atypical squamous cells of undetermined significance (ASC-US)
795.02	Papanicolaou smear of cervix with atypical squamous cells cannot exclude high grade squamous intraepithelial lesion (ASC-H)
795.03	Papanicolaou smear of cervix with low grade squamous intraepithelial lesion (LGSIL)
795.04	Papanicolaou smear of cervix with high grade squamous intraepithelial lesion (HGSIL)
795.05	Cervical high risk human papillomavirus (HPV) DNA test positive
795.06	Papanicolaou smear of cervix with cytologic evidence of malignancy
795.07	Satisfactory cervical smear but lacking transformation zone
795.08	Unsatisfactory cervical cytology smear
795.09	Other abnormal Papanicolaou smear of cervix and cervical HPV
795.1	Abnormal glandular Papanicolaou smear of vagina
795.11	Papanicolaou smear of vagina with atypical squamous cells of undetermined significance (ASC-US)
795.12	Papanicolaou smear of vagina with atypical squamous cells cannot exclude high grade squamous intraepithelial lesion (ASC-H)
795.13	Papanicolaou smear of vagina with low grade squamous intraepithelial lesion (LGSIL)
795.14	Papanicolaou smear of vagina with high grade squamous intraepithelial lesion (HGSIL)
795.15	Vaginal high risk human papillomavirus (HPV) DNA test positive
795.16	Papanicolaou smear of vagina with cytologic evidence of malignancy
795.18	Unsatisfactory vaginal cytology smear
795.19	Other abnormal Papanicolaou smear of vagina and vaginal HPV
795.31	Nonspecific positive findings for anthrax
795.39	Other nonspecific positive culture findings
795.71	Nonspecific serologic evidence of human immunodeficiency virus [HIV]
795.81	Elevated carcinoembryonic antigen [CEA]
795.82	Elevated cancer antigen 125 [CA 125]
795.89	Other abnormal tumor markers
796.7	Abnormal glandular Papanicolaou smear of anus
796.71	Papanicolaou smear of anus with atypical squamous cells of undetermined significance (ASC-US)
796.72	Papanicolaou smear of anus with atypical squamous cells cannot exclude high grade squamous intraepithelial lesion (ASC-H)
796.73	Papanicolaou smear of anus with low grade squamous intraepithelial lesion (LGSIL)
796.74	Papanicolaou smear of anus with high grade squamous intraepithelial lesion (HGSIL)
796.75	Anal high risk human papillomavirus (HPV) DNA test positive
796.76	Papanicolaou smear of anus with cytologic evidence of malignancy
796.77	Satisfactory anal smear but lacking transformation zone
796.78	Unsatisfactory anal cytology smear
796.79	Other abnormal Papanicolaou smear of anus and anal HPV
799.01	Asphyxia
799.02	Hypoxemia
799.81	Decreased libido
780.1	Hallucinations
780.2	Syncope and collapse
780.4	Dizziness and giddiness
780.8	Generalized hyperhidrosis
781	Abnormal involuntary movements
781.1	Disturbances of sensation of smell and taste
781.2	Abnormality of gait
781.3	Lack of coordination
781.4	Transient paralysis of limb
781.5	Clubbing of fingers
781.6	Meningismus
781.7	Tetany
781.8	Neurologic neglect syndrome
782	Disturbance of skin sensation
782.1	Rash and other nonspecific skin eruption
782.2	Localized superficial swelling, mass, or lump
782.3	Edema
782.4	Jaundice, unspecified, not of newborn
782.5	Cyanosis
782.7	Spontaneous ecchymoses
782.8	Changes in skin texture
783	Anorexia
783.1	Abnormal weight gain
783.3	Feeding difficulties and mismanagement
783.5	Polydipsia
783.6	Polyphagia
783.7	Adult failure to thrive
783.9	Other symptoms concerning nutrition, metabolism, and development
784	Headache
784.1	Throat pain
784.2	Swelling, mass, or lump in head and neck
784.3	Aphasia
784.5	Other speech disturbance
784.7	Epistaxis
784.8	Hemorrhage from throat
785	Tachycardia, unspecified
785.1	Palpitations
785.2	Undiagnosed cardiac murmurs
785.3	Other abnormal heart sounds
785.4	Gangrene
785.6	Enlargement of lymph nodes
785.9	Other symptoms involving cardiovascular system
786.1	Stridor
786.2	Cough
786.3	Hemoptysis
786.4	Abnormal sputum
786.6	Swelling, mass, or lump in chest
786.7	Abnormal chest sounds
786.8	Hiccough
786.9	Other symptoms involving respiratory system and chest
787.1	Heartburn
787.3	Flatulence, eructation, and gas pain
787.4	Visible peristalsis
787.5	Abnormal bowel sounds
787.6	Incontinence of feces
787.7	Abnormal feces
788	Renal colic
788.1	Dysuria
788.5	Oliguria and anuria
788.7	Urethral discharge
788.8	Extravasation of urine
789.1	Hepatomegaly
789.2	Splenomegaly
790.1	Elevated sedimentation rate
790.3	Excessive blood level of alcohol
790.4	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
790.5	Other nonspecific abnormal serum enzyme levels
790.6	Other abnormal blood chemistry
790.7	Unspecified bacteremia
790.8	Unspecified viremia
791	Proteinuria
791.1	Chyluria
791.2	Hemoglobinuria
791.3	Myoglobinuria
791.4	Biliuria
791.5	Glycosuria
791.6	Acetonuria
791.7	Other cells and casts in urine
791.9	Other nonspecific findings on examination of urine
792	Nonspecific abnormal findings in cerebrospinal fluid
792.1	Nonspecific abnormal findings in stool contents
792.2	Nonspecific abnormal findings in semen
792.3	Nonspecific abnormal findings in amniotic fluid
792.4	Nonspecific abnormal findings in saliva
792.5	Cloudy (hemodialysis) (peritoneal) dialysis effluent
793	Nonspecific abnormal findings on radiological and other examination of skull and head
793.1	Nonspecific abnormal findings on radiological and other examination of lung field
793.2	Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs
793.3	Nonspecific abnormal findings on radiological and other examination of biliary tract
793.4	Nonspecific abnormal findings on radiological and other examination of gastrointestinal tract
793.5	Nonspecific abnormal findings on radiological and other examination of genitourinary organs
793.6	Nonspecific abnormal findings on radiological and other examination of abdominal area, including retroperitoneum
793.7	Nonspecific abnormal findings on radiological and other examination of musculoskeletal system
794.2	Nonspecific abnormal results of function study of pulmonary system
794.4	Nonspecific abnormal results of function study of kidney
794.5	Nonspecific abnormal results of function study of thyroid
794.6	Nonspecific abnormal results of other endocrine function study
794.7	Nonspecific abnormal results of function study of basal metabolism
794.8	Nonspecific abnormal results of function study of liver
794.9	Nonspecific abnormal results of other specified function study
795.2	Nonspecific abnormal findings on chromosomal analysis
795.4	Other nonspecific abnormal histological findings
795.5	Nonspecific reaction to tuberculin skin test without active tuberculosis
795.6	False positive serological test for syphilis
796	Nonspecific abnormal toxicological findings
796.1	Abnormal reflex
796.2	Elevated blood pressure reading without diagnosis of hypertension
796.3	Nonspecific low blood pressure reading
796.4	Other abnormal clinical findings
796.5	Abnormal finding on antenatal screening
796.6	Nonspecific abnormal findings on neonatal screening
798	Sudden infant death syndrome
798.1	Instantaneous death
798.2	Death occurring in less than 24 hours from onset of symptoms, not otherwise explained
798.9	Unattended death
799.1	Respiratory arrest
799.2	Nervousness
799.3	Debility, unspecified
799.4	Cachexia
799.9	Other unknown and unspecified cause of morbidity or mortality
797	Senility without mention of psychosis
