snomedid|term
P1-36447|Endarterectomy of iliac artery
P0-20053|Discharge by occupational health physician
P0-20083|Discharge by stoma nurse
P0-20084|Discharge by stomatherapist
P0-20085|Discharge by community-based nurse
P0-20086|Discharge by community nurse
P1-79301|Incisional biopsy of testis
P1-5675C|Endoscopy of jejunum through artificial stoma
P1-13840|Refusion of spine
P1-13840|Refusion of spine, unlisted level or technique
P1-13840|Refusion of spine, NOS
P0-051EE|Closure of ulcer of duodenum
P0-051EE|Oversewing of ulcer crater of duodenum
P1-5693A|Jejunoileostomy bypass shunt for obesity
P1-56063|Fixation of duodenum to abdominal wall
P3-62422|Canine distemper virus antigen assay
P3-67461|Triiodothyronine antibody assay
P1-1054B|Injection for tenosynovitis
P1-1054C|Injection for plantar fasciitis
P1-050FB|Subcutaneous infusion
P3-6241A|Bovine herpesvirus 2 antigen assay
P3-62097|Nuclear antibody, rim pattern assay
P3-67450|Phosphatidylethanolamine antibody assay
P1-31105|Blalock Hanlon operation
P1-31105|BH - Blalock Hanlon atrial septectomy
P3-67458|Somatotropin antibody assay
P3-73709|pH, total acid measurement
P0-2084E|Referral for minor surgery
P0-05D92|Steroid injection into medial epicondyle tendon of humerus
P3-710D9|Steroid sulfatase level
P3-710D9|Steroid sulphatase level
P3-710D9|Steryl-sulfatase measurement
P3-710D9|Steryl-sulphatase measurement
P3-6712F|Anti elastase antibody level
P3-6712F|Elastase antibody measurement
P3-67132|Anti cathepsin G antibody level
P3-67132|Cathepsin G antibody measurement
P3-67133|Anti BPI antibody level
P3-67133|Bactericidal permeability-increasing protein antibody measurement
P9-00178|Transition of diabetes care options discussed
P3-72303|Beta carotene level
P3-72303|Beta-carotene measurement
P3-60235|CD103 count
P0-20846|Referral to education service
P3-60230|Antineutrophil antibody level
P3-60230|Antineutrophil antibody measurement
P1-48807|Mastorrhaphy
P1-48807|Suture of skin of breast
P3-60191|Ea rosette test
P3-60194|Detection of erythrocyte antibody complement complex binding
P1-B130C|Excision of lesion of thorax
P3-60174|Solid phase sandwich immunometric noncompetitive immunoassay
P3-500DE|Antibiotic sensitivity, fungus
P1-57829|Colosigmoidostomy
P1-17554|Implantation of Swanson prosthesis of finger
P1-53804|Pharyngo-oesophageal repair
P1-53804|Pharyngoesophageal repair
P1-53804|Pharyngesophageal repair
P1-53804|Pharyngo-esophageal repair
P1-A3011|Excision of prominence of cornea in staphyloma
P1-4884C|Biesenberger operation, reduction mammoplasty, unilateral
P1-18100|Incision of thigh
P1-18100|Incision of thigh, NOS
P3-70489|Gas liquid chromatography, mass analyzer type
P3-70970|Laxative identification
P3-70970|Presence of laxative
P3-710D6|Sulpiride level
P3-710D6|Sulpiride measurement
P3-7013E|Net bilirubin absorbance
P3-7013F|Asialo transferrin level
P3-7013F|Asialotransferrin measurement
P3-740A0|Dihydrotestosterone level
P3-740A0|Dihydrotestosterone measurement
P3-6712B|Anti GM1 antibody level
P3-6712B|Ganglioside GM1 antibody measurement
P3-6023D|Percentage CD13 count
P3-710DB|Blood catecholamine level
P3-710DB|Blood catecholamine measurement
P3-6023E|CD41 count
P1-A2875|Shortening of eyelid margin
P1-54C00|Destruction of lesion of oesophagus
P1-54C00|Destruction of lesion of esophagus
P1-54C00|Destruction of lesion of esophagus, NOS
P1-54C00|Destruction of esophageal lesion
P1-54C00|Destruction of oesophageal lesion
P5-90302|Computerized axial tomography of lower extremity with contrast
P5-90302|Computerised axial tomography of lower extremity with contrast
P1-95573|Percutaneous implantation of neurostimulator electrodes into autonomic nerve
P3-61A5A|Coxsackievirus A10 antibody assay
P3-61A58|Coxsackievirus A7 antibody assay
P3-61A7C|Echovirus 30 antibody assay
P3-61A70|Echovirus antibody assay
P3-52076|Escherichia coli K88 detection
P0-00438|Administration of steroid
P0-00438|Steroid therapy
P0-00439|Oral steroid therapy
P3-62213|HIV 1 antibody band pattern determination
P3-62213|Human immunodeficiency virus (HIV) 1 antibody band pattern determination
P3-62426|Eastern equine encephalitis virus antigen assay
P3-61935|Sarcocystis neurona antibody assay
P3-50034|Escherichia coli enteroinvasive culture
P7-50606|Tubal diathermy
P0-0594A|Drainage of labial abscess
P1-B9C04|Diathermy of perineal warts
P3-49B67|Dengue virus 1, 2, 3, AND 4 RNA assay
P0-0569C|Incision and exploration of common bile duct for relief of obstruction
P3-73996|Chromogranin level
P3-73996|Chromogranin measurement
P3-7399A|Adrenocorticotrophic hormone precursor level
P3-7399A|Adrenocorticotrophic hormone precursor measurement
P3-60255|Immunophenotyping
P3-7389B|Propionylglycine measurement
P3-7296C|Glutarylcarnitine measurement
P3-73583|N-acetyltyrosine measurement
P3-62297|Influenza virus A Mississippi antibody assay
P3-6161B|Mycoplasma fermentans antibody assay
P3-52004|Beta lactamase organism identification
P1-A4185|Anterior sclerotomy with removal of vitreous
P1-A4185|Removal of vitreous by anterior approach
P3-67435|Calcitonin antibody assay
P3-6165E|Leptospira canicola antibody assay
P1-77542|Repair of non-inflatable penile prosthesis
P3-62099|Nuclear antibody, cytoplasmic pattern assay
P5-B0542|Quantitative photoplethysmography, venous
P3-56100|Infectious agent genotype identification
P3-685AA|HLA DR antigen typing
P3-685AA|Human leucocyte antigen (HLA) DR antigen typing
P3-685AA|Human leukocyte antigen (HLA) DR antigen typing
P3-61A3C|Avian infectious bronchitis virus Ark-99 antibody assay
P3-6243F|Papilloma virus 42 antigen assay
P3-622A6|Parainfluenza virus A antibody assay
P1-40801|Integumentary system closure
P1-43803|Skin of trunk repair
P2-A0103|Camera fundoscopy
P2-A001C|Indirect fundoscopy following mydriatic
P1-19304|Foot excision
P1-21E01|Nasopharynx manipulation
P1-21E02|Nose manipulation
P1-28303|Lung excision
P1-28303|Excision of lung
P1-28303|Pulmonary resection
P1-28303|Resection of lung
P1-34801|Aorta closure
P1-35701|Neck artery endoscopy
P1-32590|Heart valve injection
P1-34802|Aorta reconstruction
P1-35302|Head artery excision
P1-35702|Head artery endoscopy
P1-93803|Spinal cord reconstruction
P1-A1D02|Orbit transplantation
P1-A1D02|Transplantation of orbit proper
P1-A6801|Posterior segment of eye closure
P1-A6802|Posterior segment of eye reconstruction
P1-B1701|Chest wall endoscopy
P1-B1E02|Thorax manipulation
P1-B6503|Abdomen injection
P1-B7805|Retroperitoneum reconstruction
P1-B9806|Perineum reconstruction
P1-5A802|Salivary gland reconstruction
P1-5B802|Liver reconstruction
P2-06032|Coronary heart disease annual review
P1-65807|Lymphatic system closure
P1-5A860|Suture of salivary gland
P1-74801|Bladder closure
P1-75501|Urethra implantation
P1-75801|Urethra closure
P1-82801|Vagina closure
P1-83E02|Uterine cervix manipulation
P1-58809|Anus reconstruction
P0-200B7|Discharge from establishment
P0-200B8|Discharge from service
P0-200B9|Discharge from Accident and Emergency service
P0-200B9|Discharge from accident and emergency service
P0-200B9|Discharge from casualty service
P0-200B9|Discharge from A & E service
P0-200E4|Discharge from psychiatry service
P0-200E5|Discharge from child and adolescent psychiatry service
P0-200E6|Discharge from forensic psychiatry service
P0-20119|Discharge from gastrointestinal surgical service
P0-20119|Discharge from GI surgical service
P0-2011A|Discharge from general gastrointestinal surgical service
P0-2011A|Discharge from general GI surgical service
P0-2011B|Discharge from upper gastrointestinal surgical service
P0-2011B|Discharge from upper GI surgical service
P1-56070|Destruction of lesion of ileostomy
P1-56009|Repair of small intestine
P1-56009|Repair of small bowel
P2-50112|Examination of periodontium
P1-57842|Percutaneous cecostomy
P1-57842|Percutaneous caecostomy
P1-5735E|Laparoscopic transverse colectomy
P1-5BC14|Cryotherapy of liver metastases
P1-36103|Exploration of subclavian artery
P1-37106|Exploration of axillary artery
P9-01002|Neuropsychological testing
P3-31018|Peripheral blood buffy coat smear interpretation
P1-17529|Hand injection
P1-17529|Injection of hand
P1-25409|Thyroidectomy with laryngectomy
P3-72632|Cystine measurement, quantitative
P1-83370|Wertheim operation
P1-A6880|Repair of retina for retinal tear or defect by cryotherapy
P1-A6880|Cryotherapy of retina for repair of tear or defect
P1-A6880|Cryoretinopexy for repair of tear or defect
P1-9101C|Aspiration of intracranial space through previously implanted catheter or reservoir, Ommaya or Rickham
P3-70572|Northern blot assay
P1-51939|Laser assisted uvulopalatopharyngoplasty
P3-10030|Bleeding time, Ivy
P0-0054E|Meetings and conferences
P1-32843|Repair of pulmonary valve with tissue graft
P1-32843|Bioprosthetic pulmonary valve replacement
P1-32843|Biological pulmonary valve replacement
P1-32843|Tissue pulmonary valve replacement
P1-32843|Replacement of pulmonary valve with tissue graft
P1-32844|Porcine pulmonary valve replacement
P5-00148|Head and neck contrast procedure
P7-71203|Denture care education
P7-71203|Teach denture care
P7-71203|Denture care instruction
P7-71203|Dental prosthesis care instruction
P7-71203|Prosthodontic appliance care instruction
P1-10A60|Revision open reduction and fixation of fracture
P5-D30FB|Radionuclide blood pool study
P1-3287D|Suturing of atrioventricular valve
P1-3187D|Patching of coronary sinus atrial septal defect
P1-30087|Packing for postoperative bleeding from tonsillar bed
P1-5C380|Biopsy of ampulla of Vater
P3-49B9D|Polymerase chain reaction test for HAV6
P3-49B9D|Polymerase chain reaction test for Haemophilus influenzae type A 6
P3-02002|Taking conjunctival swab
P1-03141|Debridement of leg ulcer
P1-03143|Debridement of foot ulcer
P1-3084E|Femoroposterior tibial reversed vein bypass graft
P1-14806|Pelvis repair
P1-3881B|Re-ligation of saphenofemoral junction
P1-03146|Debridement of amputation stump
P1-03147|Debridement of ulcer
P3-02007|Taking low vaginal swab
P3-02008|Taking postnasal swab
P3-02009|Taking ear swab
P3-0200A|Taking throat swab
P0-0526F|Laser assisted in situ keratomileusis
P0-0526F|LASIK
P1-82351|Excision of granulation tissue of vagina
P0-0004D|Making of appliance
P8-30161|Application of dental fluoride varnish
P2-11904|Eating disorder counselling
P2-11904|Eating disorder counseling
P2-11904|Counseling for eating disorder
P2-11904|Counselling for eating disorder
P1-55003|Suture of gastric ulcer
P1-55003|Gastric ulcer suture
P1-5606E|Suture of ulcer of duodenum
P1-5606E|Suture of duodenal ulcer
P1-5606E|Duodenal ulcer suture
P0-05523|Tonsil and peritonsillar operations
P1-54361|Esophagectomy and interposition reconstruction
P1-54361|Oesophagectomy and interposition reconstruction
P0-2070B|Referral to child assessment service
P0-2070C|Referral to swallow clinic
P0-20031|Discharge by endocrinologist
P0-20032|Discharge by gastroenterologist
P0-20033|Discharge by general physician
P0-20034|Discharge by geneticist
P0-20068|Discharge by oral surgeon
P0-20068|Discharge by maxillofacial surgeon
P0-005DB|Multisystem therapy
P3-61819|Aspergillus fumigatus 1 antibody assay
P3-6181B|Aspergillus fumigatus 6 antibody assay
P0-0527B|Extraction of primary membranous cataract by phacofragmentation
P3-6160B|Chlamydia psittaci antibody assay
P3-62465|Chlamydia species antigen assay
P3-50281|Tilt tube reptilase induced coagulation method
P1-74105|Open exploration of bladder
P1-7401F|Transurethral bladder calculus procedure
P2-45204|Administration of Hepatitis B Virus immune globulin, human
P2-45204|Hepatitis B Virus immune globulin administration
P3-0201D|Endocervical swab
P3-0201D|ECS - Endocervical swab
P1-5C064|Choledochostomy
P1-16CFF|Transposition of tissue of forearm
P0-05D8C|Skin rolling
P1-33065|Robot assisted coronary artery bypass
P1-33065|RACAB - Robot assisted coronary artery bypass
P0-05DB9|Enhanced external counterpulsation
P0-05DB9|ECPT - Extracorporeal counterpulsation therapy
P0-05DB9|EECP - Enhanced external counterpulsation
P1-2501B|Attention to laryngeal prosthetic device
P1-5C501|Biliary tract implantation
P1-5C502|Gallbladder implantation
P1-66C02|Tonsil destructive procedure
P1-66C02|Destruction of tonsil
P1-83309|Cervix excision
P1-83309|Excision of cervix
P1-83309|Excision of cervix uteri
P1-83501|Uterus implantation
P1-84301|Fallopian tube excision
P1-84301|Salpingectomy
P1-58804|Rectum reconstruction
P2-11855|Fluid intake education
P2-11855|Advice about fluid intake
P1-A2504|Eyelid injection
P1-A2504|Injection into eyelid
P1-A2D02|Eyelid transposition
P1-A6D01|Posterior segment of eye transplantation
P1-B6803|Abdomen closure
P1-B6803|Closure of abdomen
P1-B6803|Closure of abdominal wall
P1-B7502|Implantation into retroperitoneum
P1-B9302|Inguinal region excision
P1-84821|Fallopian tube closure
P1-93D01|Spinal cord transplantation
P1-95803|Nerve closure
P1-A9803|Extraocular muscles closure
P1-A9801|Extraocular muscles reconstruction
P1-B1801|Chest wall closure
P1-B1807|Thorax closure
P1-B6820|Abdomen reconstruction
P1-B7503|Implantation into mesentery
P1-B7501|Implantation into peritoneum
P1-B7804|Mesentery reconstruction
P0-0070D|Clinical molecular genetics service
P0-0070E|Genitourinary medicine service
P0-0070E|Sexually transmittable diseases service
P0-0070F|Care of the elderly service
P0-0070F|Geriatric medicine service
P0-0070F|Geriatric referral service
P1-31894|Repair of atrial heart septum in total repair of tetralogy of Fallot
P3-7105C|Vigabatrin measurement
P3-7105C|Vigabatrin level
P1-0C025|Coagulation
P1-57309|Biopsy of large intestine
P0-057D5|Upper gastrointestinal procedure
P5-C0222|Provision of stents or bite blocks
P1-9514A|Retrogasserian neurotomy
P1-4836C|Radical mastectomy including pectoral muscles and axillary lymph nodes
P0-00520|Child development recall
P0-20745|Referral to stoma nurse
P0-20745|Referral to stomatherapist
P0-20745|Refer to stoma nurse
P0-20746|Referral to diabetic liaison nurse
P0-20747|Referral to psychologist
P0-20747|Refer to psychologist
P0-00B6C|Procedure time out
P0-00BDB|Physical therapy education, guidance and counseling
P0-00BDB|Physical therapy education, guidance and counselling
P0-00BDB|Physical therapy care teaching, guidance and counselling
P0-00BDB|Physical therapy care teaching, guidance and counseling
P3-54219|Orthopoxvirus identification
P3-5421C|Rotavirus identification
P3-49B33|Enterococcus species rRNA assay
P3-49B68|Enterovirus RNA assay
P3-49B68|Enterovirus ribonucleic acid detection
P3-49B55|Histoplasma capsulatum DNA assay
P1-19B24|Achillorrhaphy
P3-50258|Yeast culture
P3-50039|Gardnerella vaginalis culture
P3-5007F|Parainfluenza virus culture
P3-5018E|Chlamydia pneumoniae culture
P3-68127|Interleukin 12 assay
P3-52063|Detection of parasite
P3-52064|Detection of virus
P0-040FC|Vision care management
P0-040FC|Manage vision care
P3-6193E|Trichinella spiralis antibody assay
P0-00A2E|Sexual behavior analysis assessment
P0-00A2E|Sexual behaviour analysis assessment
P0-00A2E|Assess sexual behavior analysis
P0-00A2E|Assess sexual behaviour analysis
P0-2075C|Referral to ear, nose and throat surgeon
P0-20069|Discharge by orthopaedic surgeon
P0-20069|Discharge by orthopedic surgeon
P1-055A2|Insertion of renal artery stent
P2-11954|Domestic violence education
P2-11954|Advice about domestic violence
P3-6700B|Anti smooth muscle antibody IgA level
P3-6700B|Smooth muscle IgA antibody measurement
P3-6024E|Anti calcium channel blocking antibody level
P3-6024E|Calcium channel blocking antibody measurement
P0-20855|Referral to psychosexual clinic
P0-00B49|Mental health monitoring first letter
P0-20844|Referral for spirometry
P1-5A303|Fine needle biopsy of salivary duct
P7-00040|Functional assessment
P7-00040|Functional assessment, NOS
P0-2006A|Discharge by pediatric surgeon
P0-2006A|Discharge by paediatric surgeon
P0-2009D|Discharge by audiologist
P0-2009E|Discharge by audiology technician
P0-200CD|Discharge from endocrinology service
P0-200CE|Discharge from gastroenterology service
P0-200CF|Discharge from general medical service
P0-200D0|Discharge from genetics service
P0-200F9|Discharge from community dietetics service
P0-200FA|Discharge from occupational therapy service
P0-200FB|Discharge from hospital occupational therapy service
P0-200FC|Discharge from community occupational therapy service
P0-20131|Discharge from hospice day hospital
P0-20132|Discharge from ward
P0-20133|Discharge from day ward
P0-20134|Case closure by social services department
P0-20149|Case closure by social worker
P0-003EF|Admission by general dental surgeon
P0-003F0|Admission to general dental surgery department
P0-2014A|Discharge by general dental surgeon
P8-70008|Connective tissue gingival graft
P1-00211|Low power laser therapy to ankle
P1-00212|Low power laser therapy to foot
P7-50626|Microwave therapy to shoulder
P7-50627|Microwave therapy to elbow
P7-50628|Microwave therapy to wrist
P0-0074C|Stress monitoring invitation
P0-0074D|Well adult monitoring invitation
P0-0074E|Well woman monitoring invitation
P0-0074F|Well man monitoring invitation
P1-0E658|Completion of plaster from backslab
P0-A0225|Communication skills training
P0-A0226|Conversational skills training
P0-A0226|Discourse skills training
P1-A684C|Buckling of sclera using explant
P0-05876|Limb exsanguination by mechanical exsanguinator
P0-00550|Report procedure
P1-32923|Biological atrioventricular valve replacement
P1-32923|Bioprosthetic atrioventricular valve replacement
P1-32923|Tissue atrioventricular valve replacement
P1-32924|Ball valve atrioventricular valve replacement
P1-32925|Disc valve atrioventricular valve replacement
P0-206FB|Referral by general dental surgeon
P0-206FB|Referral from general dental surgeon
P0-206FC|Referral to general dental surgery service
P0-206FD|Referral to general dental surgeon
P1-30501|Implantation to cardiovascular system
P8-70009|Periodontal regeneration procedure
P1-83302|Biopsy of uterus
P1-0E50A|Urinary stoma bag fitting
P0-00703|Gastroenterology service
P0-00709|General medical service
P0-0070A|Genetics service
P0-0070B|Clinical genetics service
P9-00001|Psychometric testing
P1-917FA|Brain ventriculoscopy
P1-917FA|Ventriculoscopy operations
P1-917FA|Ventriculoscopy
P0-004AE|Death administrative procedure
P0-20155|Discharge from rehabilitation service
P1-A2906|Conjunctival graft procedure
P1-58836|Excision of anterior mucosal prolapse of rectum
P3-50286|Modified trichrome stain method
P3-50286|Modified trichrome stain
P3-50142|Anaerobic microbial culture
P3-34161|Alkaline denaturation method for fetal haemoglobin determination
P3-34161|Alkaline denaturation method for fetal hemoglobin determination
P1-5472C|Endoscopic insertion of tubal prosthesis into esophagus
P1-5472C|Endoscopic insertion of tubal prosthesis into oesophagus
P1-78313|Trucut transperineal biopsy of prostate
P0-05482|Biopsy of lesion of cheek
P2-01423|Examination of upper arm
P2-01424|Examination of forearm
P2-01425|Examination of thumb
P2-01426|Examination of finger
P2-0146E|Examination of hernial orifices
P2-0141E|Examination of lymph nodes
P2-0146F|Examination of cervical lymph nodes
P1-16BFF|Destructive procedure in forearm
P0-05D80|Surgical pneumothorax
P1-5A103|Incision of salivary duct
P1-17C05|Wrist destructive procedure
P1-18302|Excision from leg
P1-18512|Thigh implantation
P1-18502|Injection into thigh
P1-18D01|Transplantation of tissue of leg
P1-95100|Incision of nerve
P1-95100|Neurotomy
P1-95100|Neurotomy, NOS
P1-95100|Incision of nerve, NOS
P1-C0B0B|Conscious sedation
P1-C0B0B|Induction of conscious sedation
P1-C0B0B|Moderate sedation
P1-35501|Neck artery implantation
P1-35C01|Head artery destructive procedure
P1-177FA|Wrist closure
P2-1183B|HIV prevention education
P2-1183B|Advice about HIV prevention
P2-11854|Weaning education
P2-11854|Advice about weaning
P1-18D04|Transposition of tissue of thigh
P1-26D30|Bronchus transplantation
P9-00119|Giving encouragement to continue treatment
P2-11856|Recommendation to avoid nut intake
P2-11856|Advice to avoid nut intake
P1-28871|Lung reconstruction
P3-67434|Beta tubulin antibody assay
P3-61660|Leptospira hardjo antibody assay
P3-50515|Helminth identification
P1-36811|Division of patent ductus arteriosus
P1-36811|Division of ductus arteriosus
P0-00B88|Blood sugar management
PA-30026|Develop home medication dispensing strategy
P0-00528|Cervical smear recall
P0-00529|Contraception call
P0-0052A|IUD check call
P0-20751|Referral to geneticist
P0-20751|Refer to geneticist
P0-20752|Referral to general physician
P0-20753|Referral to cardiologist
P0-20754|Referral to dermatologist
P0-00545|New patient screening call
P0-00546|Hormone replacement monitoring call
P0-05709|Neurolytic block of cranial nerve or ganglion
P2-44103|Injection of Kveim antigen into skin
P3-73681|Parathyroid related protein measurement
P3-5067A|Leishmania species identification
P3-52006|Mycobacterium identification
P3-5067D|Naegleria species identification
P3-54218|Norwalk virus identification
P1-37501|Artery of extremity implantation
P0-0522E|Maintenance of ventricular shunt
P1-168E4|Shoulder closure
P2-11909|Unemployment counseling
P2-11909|Unemployment counselling
P2-1190A|Redundancy counselling
P2-1190A|Redundancy counseling
P1-17501|Wrist injection
P3-30003|Blood haematinic measurement
P3-30003|Blood hematinic measurement
P3-30003|Blood hematinic levels
P3-30003|Blood haematinic levels
P1-12E02|Trunk manipulation
P0-2075D|Referral to orthopedic surgeon
P0-2075D|Referral to orthopaedic surgeon
P3-69201|Rheumatoid factor, qualitative
P1-71132|Renal calicotomy
P1-38561|Revision of implantable venous access port
P1-19A60|Plastic achillotomy
P1-19A60|Plastic achillotenotomy
P5-B8504|Echography of breast, B-scan
P1-B6990|Repair of omphalocele
P1-B6990|Repair of omphalocele, NOS
P1-B6990|Closure of exomphalos
P1-B6990|Omphalocele repair
P1-B6990|Closure of omphalocele
P1-75C10|Cauterization of urethra
P1-75C10|Cauterisation of urethra
P1-75C10|Cauterization of urethra, NOS
P3-70935|Common duct stone analysis
P1-17012|Diagnostic procedure on carpals and metacarpals
P1-17012|Diagnostic procedure on carpals and metacarpals, NOS
P1-C7140|Anaesthesia for procedure on veins of upper arm and elbow
P1-C7140|Anesthesia for procedure on veins of upper arm and elbow
P1-C7140|Anesthesia for procedure on veins of upper arm and elbow, NOS
P9-01400|Psychologic test, Benton visual retention test
P2-47080|Typhus vaccination
P2-47080|Typhus immunization
P2-47080|Typhus immunisation
P1-79352|Core needle biopsy of epididymis
P1-45060|Operation on skin of lower extremity
P1-45060|Operation on skin of lower extremity, NOS
P1-03170|Removal of suture
P1-03170|ROS - Removal of sutures
P1-03170|Removal of sutures
P1-03170|Removal of suture, NOS
P8-40110|Removable appliance therapy for tooth guidance
P1-57E64|Dilation of colostomy stoma
P3-6009D|Borrelia burgdorferi IgG level
P3-6009E|Borrelia burgdorferi antibody level
P3-6009F|Bordetella pertussis antibody level
P3-600A0|Borrelia burgdorferi blot test
P3-5C019|HIV viral load
P3-5C019|Human immunodeficiency virus (HIV) viral load
P3-600C5|HIV antibody/antigen (Duo)
P3-600C5|Human immunodeficiency virus (HIV) antibody/antigen, Duo
P3-600C5|HIV antibody/antigen, Duo
P3-500D0|Poultry faecal antibody level
P3-500D0|Poultry fecal antibody level
P3-500D1|Poultry serum antibody level
P3-600E9|Psittacosis LGV antibody level
P3-600EA|Psittacosis antibody level
P1-51029|Primary repair of cleft lip
P1-5103B|Destructive procedure of palate
P0-056FC|Perineoplasty
P2-014AE|Dipping - examination
P2-014AE|Dipping
P1-48506|Insertion of tissue expander into breast
P1-18301|Excision from thigh
P0-00458|Admission for social reasons
P0-00458|Social admission
P3-74134|Total thyroxine measurement
P3-74134|Total thyroxine level
P1-21C02|Nose destructive procedure
P1-21C02|Destructive procedure of nose
P1-21D01|Transplantation of tissue of nose
P1-21D02|Transplantation of tissue of nasopharynx
P1-307FA|Cardiovascular system closure
P1-31801|Heart closure
P1-18747|Arthroscopic trimming of meniscus
P3-78554|Paramethadione measurement
P3-78261|Despropionylfentanyl measurement
P1-39802|Pericardium reconstruction
P1-41101|Skin of head incision
P1-5A102|Incision and probing of salivary duct
P1-5A015|Fine needle aspiration biopsy of salivary gland
P0-05274|Procedure on tunica vaginalis testis
P1-19D11|Grafting of tarsal bone
P0-0511A|Procedure on tracheobronchial tree
P1-30362|Removal of arterial graft or prosthesis
P1-30362|Removal of arterial graft or prosthesis, NOS
P2-36150|Circulation time, one test
P1-5675B|Percutaneous endoscopy through jejunostomy
P0-2075E|Referral to neurosurgeon
P1-30884|Vein patch repair of artery
P1-3081B|Placement of vein cuff around arterial anastomosis
P1-3289E|Porcine aortic valve replacement
P1-32822|Porcine tricuspid valve replacement
P1-81814|Suture of labia
P1-81814|Suture of vulva
P1-10458|Excision of suprapatellar bursa
P0-00531|Chronic disease recall
P0-00532|Adult immunisation recall
P0-00532|Adult immunization recall
P1-930CF|Posterior spinal instrumentation
P0-20043|Discharge by community pediatrician
P0-20043|Discharge by community paediatrician
P0-20044|Discharge by neonatologist
P0-20045|Discharge by pediatric neurologist
P0-20045|Discharge by paediatric neurologist
P0-20076|Discharge by cardiac rehabilitation nurse
P0-20077|Discharge by contact tracing nurse
P0-20078|Discharge by continence nurse
P0-20079|Discharge by diabetic liaison nurse
P0-200A9|Discharge by optometrist
P0-200A9|Discharge by optician
P0-200AA|Discharge by orthoptist
P0-200AB|Discharge by orthotist
P0-200AC|Discharge by surgical fitter
P0-200DA|Discharge from palliative care service
P0-200DB|Discharge from rheumatology service
P0-2010D|Discharge from radiology service
P0-2010D|Discharge from X-ray service
P0-2010E|Discharge from surgical service
P0-20140|Discharge to hospital
P0-20141|Discharge to long stay hospital
P0-20142|Discharge to community hospital
P5-B003E|Endoanal ultrasound examination
P3-61A7A|Echovirus 18 antibody assay
P3-61A7D|Echovirus 40 antibody assay
P3-62290|HTLV 2 gp46 antibody assay
P3-62290|Human T-cell lymphotropic virus (HTLV) 2 gp46 antibody assay
P3-62404|Giardia lamblia 65 antigen assay
P3-622A8|Polio virus antibody assay
P3-61683|Salmonella typhimurium antibody assay
P3-61A44|Avian pox virus antibody assay
P3-67433|Beta 2-glycoprotein 1 antibody assay
P3-62484|Neisseria meningitidis polyvalent antigen assay
P3-6243C|Papilloma virus 31 antigen assay
P3-6166E|Pasteurella multocida antibody assay
P3-6172A|Rickettsia (Proteus OX19) antibody assay
P0-0521A|Procedure on male genital organ
P1-38115|Operative procedure on intracranial vein
P1-08715|Anastomosis of gall bladder
P1-08715|Gallbladder anastomosis
P1-58D02|Transplant of tissue of anus
P1-16843|Open reduction of closed shoulder dislocation with fracture of greater tuberosity
P3-91241|Body fluid analysis
P5-25235|Functional residual capacity measurement
P5-25236|Lung residual volume measurement
P0-0505A|Procedure on skin of axilla
P1-19D13|Grafting of metatarsal
P1-40107|Expression of comedones and milia
P3-50220|Microbial culture, complex
P0-00999|Procedure by method
P1-A4864|Revision of operative wound of anterior segment of eye
P1-A4864|Revision of operative wound of anterior segment of eye, NOS
P1-93132|Laminectomy with spinal fusion
