SOURCE 	CLASS	LOINC_CODE	"Rank Order(1 = most frequently ordered)"	CONVENIENCE_NAME	LOINC_LONG_COMMON_NAME	COMPONENT	PROPERTY	TM	SPCMN	SCALE	METHOD	Usually not performed at a referral lab (X)
	UA	5802-4	56	Nitrite Ur Ql Strip	Nitrite [Presence] in Urine by Test strip								
	HEM/BC	26499-4	57	Neutrophils # Bld	Neutrophils [#/volume] in Blood								
	SPEC	5778-6	58	Color Ur	Color of Urine								
	UA	5803-2	59	pH Ur Strip	pH of Urine by Test strip								
	CHEM	1759-0	60	Albumin/Glob SerPl-mRto	Albumin/Globulin [Mass ratio] in Serum or Plasma								
	HEM/BC	26484-6	61	Monocytes # Bld	Monocytes [#/volume] in Blood								
	CHEM	10834-0	62	Globulin Ser Calc-mCnc	Globulin [Mass/volume] in Serum by calculation								
	CHEM	13457-7	63	LDLc SerPl Calc-mCnc	Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation								
	UA	5770-3	64	Bilirub Ur Ql Strip	Bilirubin [Presence] in Urine by Test strip								
	UA	5799-2	65	Leukocyte esterase Ur Ql Strip	Leukocyte esterase [Presence] in Urine by Test strip								
	SPEC	5767-9	66	Appearance Ur	Appearance of Urine								
	HEM/BC	26449-9	67	Eosinophil # Bld	Eosinophils [#/volume] in Blood								
	CHEM	13458-5	68	VLDLc SerPl Calc-mCnc	Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation								
	CHEM	2777-1	69	Phosphate SerPl-mCnc	Phosphate [Mass/volume] in Serum or Plasma								
	HEM/BC	26474-7	70	Lymphocytes # Bld	Lymphocytes [#/volume] in Blood								
	UA	5811-5	71	Sp Gr Ur Strip	Specific gravity of Urine by Test strip								
	UA	5794-3	72	Hgb Ur Ql Strip	Hemoglobin [Presence] in Urine by Test strip								
	UA	5792-7	73	Glucose Ur Strip-mCnc	Glucose [Mass/volume] in Urine by Test strip								
	UA	5804-0	74	Prot Ur Strip-mCnc	Protein [Mass/volume] in Urine by Test strip								
	CHEM	11579-0	75	TSH SerPl DL<=0.05 mIU/L-aCnc	Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L								
	HEM/BC	26511-6	76	Neutrophils NFr Bld	Neutrophils/100 leukocytes in Blood								
	COAG	3173-2	77	aPTT Time Bld	Activated partial thromboplastin time (aPTT) in Blood by Coagulation assay								
	CHEM	2601-3	78	Magnesium SerPl-sCnc	Magnesium [Moles/volume] in Serum or Plasma								
	UA	5821-4	79	WBC #/area UrnS HPF	Leukocytes [#/area] in Urine sediment by Microscopy high power field								
	UA	5797-6	80	Ketones Ur Strip-mCnc	Ketones [Mass/volume] in Urine by Test strip								
	HEM/BC	4548-4	81	Hgb A1c MFr Bld	Hemoglobin A1c/Hemoglobin.total in Blood								
	CHEM	1968-7	82	Bilirub Direct SerPl-mCnc	Bilirubin.direct [Mass/volume] in Serum or Plasma								
	CHEM	2336-6	83	Globulin Ser-mCnc	Globulin [Mass/volume] in Serum								
	CHEM	11555-0	84	Base excess Bld-sCnc	Base excess in Blood								
	CYTO	47527-7	85	Cytology Cvx/Vag Doc Thin Prep	Cytology report of Cervical or vaginal smear or scraping Cyto stain.thin prep								
	CHEM	11557-6	86	pCO2 Bld	Carbon dioxide [Partial pressure] in Blood								
	CHEM	11556-8	87	pO2 Bld	Oxygen [Partial pressure] in Blood								
	TUMRRGT	22636-5	88	Path report.relevant Hx Spec	Pathology report relevant history								
	UA	5769-5	89	Bacteria #/area UrnS HPF	Bacteria [#/area] in Urine sediment by Microscopy high power field								
	CHEM	2157-6	90	CK SerPl-cCnc	Creatine kinase [Enzymatic activity/volume] in Serum or Plasma								
	CHEM	9830-1	91	Cholest/HDLc SerPl-mRto	Cholesterol.total/Cholesterol in HDL [Mass ratio] in Serum or Plasma								
	CHEM	2089-1	92	LDLc SerPl-mCnc	Cholesterol in LDL [Mass/volume] in Serum or Plasma								
	MICRO	630-4	93	Bacteria Ur Cult	Bacteria identified in Urine by Culture								
	CHEM	19123-9	94	Magnesium SerPl-mCnc	Magnesium [Mass/volume] in Serum or Plasma								
	CHEM	2713-6	95	SaO2% from pO2 Bld	Oxygen saturation.calculated from oxygen partial pressure in Blood								
	TUMRRGT	22638-1	96	Path report.comments Imp Spec	Pathology report comments								
	CHEM	11558-4	97	pH Bld	pH of Blood								
	TUMRRGT	22639-9	98	Path report.supplemental reports Spec	Pathology report supplemental reports								
	UA	20454-5	99	Prot Ur Ql Strip	Protein [Presence] in Urine by Test strip								
	UA	13945-1	100	RBC #/area UrnS HPF	Erythrocytes [#/area] in Urine sediment by Microscopy high power field								
	HEM/BC	738-5	101	Macrocytes Bld Ql Smear	Macrocytes [Presence] in Blood by Light microscopy								
	CHEM	2514-8	102	Ketones Ur Ql Strip	Ketones [Presence] in Urine by Test strip								
	HEM/BC	741-9	103	Microcytes Bld Ql Smear	Microcytes [Presence] in Blood by Light microscopy								
	MISC	19146-0	104	Ref Lab Test Results	Reference lab test results								
	CHEM	3016-3	105	TSH SerPl-aCnc	Thyrotropin [Units/volume] in Serum or Plasma								
	CHEM	6298-4	106	Potassium Bld-sCnc	Potassium [Moles/volume] in Blood								
	CHEM	3107-0	107	Urobilinogen Ur-mCnc	Urobilinogen [Mass/volume] in Urine								
	CYTO	19764-0	108	Stat of Adq Cvx/Vag Cyto-Imp	Statement of adequacy [interpretation] of Cervical or vaginal smear or scraping by Cyto stain								
	CYTO	19767-3	109	Cytologist Cvx/Vag Cyto	Cytologist who read Cyto stain of Cervical or vaginal smear or scraping								
	CYTO	19763-2	110	Specimen source Cvx/Vag Cyto	Specimen source [Identifier] in Cervical or vaginal smear or scraping by Cyto stain								
	CHEM	13969-1	111	CK MB SerPl-mCnc	Creatine kinase.MB [Mass/volume] in Serum or Plasma								
	HEM/BC	18314-5	112	Morphology Bld-Imp	Morphology [interpretation] in Blood Narrative								
	CHEM	10839-9	113	Troponin I SerPl-mCnc	Troponin I.cardiac [Mass/volume] in Serum or Plasma								
	CYTO	19773-1	114	Recom F/U Cvx/Vag Cyto	Recommended follow-up [Identifier] in Cervical or vaginal smear or scraping by Cyto stain								
	CYTO	19769-9	115	Pathologist Cvx/Vag Cyto	Pathologist who read Cyto stain of Cervical or vaginal smear or scraping								
	CHEM	2349-9	116	Glucose Ur Ql	Glucose [Presence] in Urine								
	UA	20405-7	117	Urobilinogen Ur Strip-mCnc	Urobilinogen [Mass/volume] in Urine by Test strip								
	CHEM	33037-3	118	Anion Gap SerPl-sCnc	Anion gap in Serum or Plasma								
	HEM/BC	728-6	119	Hypochromia Bld Ql Smear	Hypochromia [Presence] in Blood by Light microscopy								
	CHEM	1959-6	120	HCO3 Bld-sCnc	Bicarbonate [Moles/volume] in Blood								
	HEM/BC	26444-0	121	Basophils # Bld	Basophils [#/volume] in Blood								
	CHEM	2965-2	122	Sp Gr Ur	Specific gravity of Urine								
	ABXBACT	23658-8	123	Other Antibiotic Susc Islt	Other Antibiotic [Susceptibility]								
	CHEM	2857-1	124	PSA SerPl-mCnc	Prostate specific Ag [Mass/volume] in Serum or Plasma								
	CHEM	1971-1	125	Bilirub Indirect SerPl-mCnc	Bilirubin.indirect [Mass/volume] in Serum or Plasma								
	UA	20409-9	126	RBC # Ur Strip	Erythrocytes [#/volume] in Urine by Test strip								
	CHEM	1989-3	127	25(OH)D3 SerPl-mCnc	Calcidiol [Mass/volume] in Serum or Plasma								
	UA	8247-9	128	Mucous Threads UrnS Ql Micro	Mucus [Presence] in Urine sediment by Light microscopy								
	CHEM	2947-0	129	Sodium Bld-sCnc	Sodium [Moles/volume] in Blood								
	CHEM	1994-3	130	Ca-I Bld-sCnc	Calcium.ionized [Moles/volume] in Blood								
	MICRO	600-7	131	Bacteria Bld Cult	Bacteria identified in Blood by Culture								
	HEM/BC	6742-1	132	RBC morph Bld	Erythrocyte morphology finding [Identifier] in Blood								
	CHEM	3024-7	133	T4 Free SerPl-mCnc	Thyroxine (T4) free [Mass/volume] in Serum or Plasma								
	CHEM	5818-0	134	Urobilinogen Ur Ql Strip	Urobilinogen [Presence] in Urine by Test strip								
	CHEM	11054-4	135	LDLc/HDLc SerPl-mRto	Cholesterol in LDL/Cholesterol in HDL [Mass ratio] in Serum or Plasma								
	HEM/BC	764-1	136	Neuts Band NFr Bld Manual	Neutrophils.band form/100 leukocytes in Blood by Manual count								
	HEM/BC	4537-7	137	ESR Bld Qn Westrgrn	Erythrocyte sedimentation rate by Westergren method								
	BDYTMP.ATOM	8310-5	138	Body temperature	Body temperature								
	CHEM	3040-3	139	Lipase SerPl-cCnc	Lipase [Enzymatic activity/volume] in Serum or Plasma								
	CHEM	2498-4	140	Iron SerPl-mCnc	Iron [Mass/volume] in Serum or Plasma								
	HEM/BC	9317-9	141	Platelet Bld Ql Smear	Platelets [Presence] in Blood by Light microscopy								
	CHEM	3084-1	142	Urate SerPl-mCnc	Urate [Mass/volume] in Serum or Plasma								
	CHEM	20565-8	143	CO2 Bld-sCnc	Carbon dioxide, total [Moles/volume] in Blood								
	BLDBK	925-8	144	Bld Prod Disposition BPU	Blood product disposition [Type]								
	CHEM	3026-2	145	T4 SerPl-mCnc	Thyroxine (T4) [Mass/volume] in Serum or Plasma								
	MICRO	13317-3	146	MRSA XXX Ql Cult	Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture								
	COAG	14979-9	147	aPTT Time PPP	Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay								
	UA	11277-1	148	Squamous #/area UrnS HPF	Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field								
	HEM/BC	32623-1	149	PMV Bld Auto	Platelet mean volume [Entitic volume] in Blood by Automated count								
	CHEM	2132-9	150	Vit B12 Ser-mCnc	Cobalamin (Vitamin B12) [Mass/volume] in Serum								
	UA	20453-7	151	Epi Cells UrnS Ql Micro	Epithelial cells [Presence] in Urine sediment by Light microscopy								
	CHEM	1798-8	152	Amylase SerPl-cCnc	Amylase [Enzymatic activity/volume] in Serum or Plasma								
	CHEM	2276-4	153	Ferritin SerPl-mCnc	Ferritin [Mass/volume] in Serum or Plasma								
	CHEM	1988-5	154	CRP SerPl-mCnc	C reactive protein [Mass/volume] in Serum or Plasma								
	UA	5808-1	155	RBC # UrnS HPF	Erythrocytes [#/volume] in Urine sediment by Microscopy high power field								
	CHEM	2532-0	156	LDH SerPl-cCnc	Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma								
	CHEM	2500-7	157	TIBC SerPl-mCnc	Iron binding capacity [Mass/volume] in Serum or Plasma								
	UA	5782-8	158	Crystals UrnS Micro	Crystals [type] in Urine sediment by Light microscopy								
	HEM/BC	21000-5	159	RDW RBC Auto	Erythrocyte distribution width [Entitic volume] by Automated count								
	CHEM	2753-2	160	pH SerPl	pH of Serum or Plasma								
	CHEM	2161-8	161	Creat Ur-mCnc	Creatinine [Mass/volume] in Urine								
	UA	20408-1	162	WBC # Ur Strip	Leukocytes [#/volume] in Urine by Test strip								
	CYTO	27045-4	163	Microscopic Ur-Imp	Microscopic exam [interpretation] of Urine by Cytology								
	HEM/BC	31100-1	164	Hct VFr Bld Imped	Hematocrit [Volume Fraction] of Blood by Impedance								
	CHEM	11580-8	165	TSH SerPl DL<=0.005 mIU/L-aCnc	Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L								
	UA	5787-7	166	Epi Cells #/area UrnS HPF	Epithelial cells [#/area] in Urine sediment by Microscopy high power field								
	HEM/BC	735-1	167	Variant Lymphs NFr Bld Manual	Lymphocytes Variant/100 leukocytes in Blood by Manual count								
	BLDBK	934-0	168	BPU ID	Blood product unit ID [#]								
	BLDBK	882-1	169	ABO+Rh Gp Bld	ABO & Rh group [Type] in Blood								
	UA	19161-9	170	Urobilinogen Ur Strip-aCnc	Urobilinogen [Units/volume] in Urine by Test strip								
	CHEM	1978-6	171	Bilirub Ur-mCnc	Bilirubin [Mass/volume] in Urine								
	MICRO	30167-1	172	HPV I/H Risk 1 DNA Cervix Ql bDNA	Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA [Presence] in Cervix by Probe & signal amplification method								
	MICRO	20507-0	173	RPR Ser Ql	Reagin Ab [Presence] in Serum by RPR								
	CLIN	3151-8	174	Inhaled O2 flow rate	Inhaled oxygen flow rate								
	CHEM	14957-5	175	Microalbumin Ur-mCnc	Microalbumin [Mass/volume] in Urine								
	CHEM	58448-2	176	Microalbumin ug/min 24H Ur-mRate	Microalbumin ug/min [Mass/time] in 24 hour Urine								
	HEM/BC	26508-2	177	Neuts Band NFr Bld	Neutrophils.band form/100 leukocytes in Blood								
	MICRO	24111-7	178	N gonorrhoea DNA XXX Ql PCR	Neisseria gonorrhoeae DNA [Presence] in Unspecified specimen by Probe & target amplification method								
	UA	11279-7	179	UrnS Cmnt Micro	Urine sediment comments by Light microscopy Narrative								
	MICRO	21613-5	180	C trach DNA XXX Ql PCR	Chlamydia trachomatis DNA [Presence] in Unspecified specimen by Probe & target amplification method								
	CHEM	2284-8	181	Folate SerPl-mCnc	Folate [Mass/volume] in Serum or Plasma								
	CHEM	1995-0	182	Ca-I SerPl-sCnc	Calcium.ionized [Moles/volume] in Serum or Plasma								
	HEM/BC	11282-1	183	Total Cells Counted Bld	Cells Counted Total [#] in Blood								
	CHEM	2106-3	184	HCG Preg Ur Ql	Choriogonadotropin (pregnancy test) [Presence] in Urine								
	BLDBK	933-2	185	Bld Prod Typ BPU	Blood product type								
	HEM/BC	737-7	186	Lymphocytes NFr Bld Manual	Lymphocytes/100 leukocytes in Blood by Manual count								
	CHEM	2744-1	187	pH BldA	pH of Arterial blood								
	HEM/BC	30313-1	188	Hgb BldA-mCnc	Hemoglobin [Mass/volume] in Arterial blood								
	HEM/BC	10378-8	189	Polychromasia Bld Ql Smear	Polychromasia [Presence] in Blood by Light microscopy								
	CHEM	2324-2	190	GGT SerPl-cCnc	Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma								
	UA	25162-9	191	Hyaline Casts UrnS Ql Micro	Hyaline casts [Presence] in Urine sediment by Light microscopy								
	CHEM	2502-3	192	Iron Satn MFr SerPl	Iron saturation [Mass Fraction] in Serum or Plasma								
	CHEM	2703-7	193	pO2 BldA	Oxygen [Partial pressure] in Arterial blood								
	MICRO	664-3	194	Gram Stn XXX	Microscopic observation [Identifier] in Unspecified specimen by Gram stain								
	DRUG/TOX	3879-4	195	Opiates Ur Ql	Opiates [Presence] in Urine								
	DRUG/TOX	3390-2	196	Benzodiaz Ur Ql	Benzodiazepines [Presence] in Urine								
	CHEM	27353-2	197	Est. average glucose Bld gHb Est-mCnc	Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin								
	BLDBK	890-4	198	Bld gp Ab Scn SerPl Ql	Blood group antibody screen [Presence] in Serum or Plasma								
	HEM/BC	26507-4	199	Neuts Band # Bld	Neutrophils.band form [#/volume] in Blood								
	CHEM	3050-2	200	T3RU NFr SerPl	Triiodothyronine resin uptake (T3RU) in Serum or Plasma								
	HEM/BC	30405-5	201	WBC # Ur	Leukocytes [#/volume] in Urine								
	MICRO	48345-3	202	HIV 1+O+2 Ab SerPl Ql	HIV 1+O+2 Ab [Presence] in Serum or Plasma								
	CHEM	2986-8	203	Testost SerPl-mCnc	Testosterone [Mass/volume] in Serum or Plasma								
	CHEM	30934-4	204	BNP SerPl-mCnc	Natriuretic peptide B [Mass/volume] in Serum or Plasma								
	CHEM	2019-8	205	pCO2 BldA	Carbon dioxide [Partial pressure] in Arterial blood								
	COAG	34714-6	206	INR Bld	INR in Blood by Coagulation assay								
	DRUG/TOX	3377-9	207	Barbiturates Ur Ql	Barbiturates [Presence] in Urine								
	SERO	8061-4	208	ANA Ser Ql	Nuclear Ab [Presence] in Serum								
	ATTACH.CLINRPT	11529-5	209		Surgical pathology study								
	MICRO	5196-1	210	HBV surface Ag Ser Ql EIA	Hepatitis B virus surface Ag [Presence] in Serum by Immunoassay								
	CHEM	49136-5	211	CK MB SerPl-Rto	Creatine kinase.MB/Creatine kinase.total [Ratio] in Serum or Plasma								
	CHEM	14959-1	212	Microalbumin/Creat Ur-mRto	Microalbumin/Creatinine [Mass ratio] in Urine								
	MICRO	48346-1	213	HIV 1+O+2 Ab SerPl-aCnc	HIV 1+O+2 Ab [Units/volume] in Serum or Plasma								
	DRUG/TOX	3349-8	214	Amphetamines Ur Ql	Amphetamines [Presence] in Urine								
	HEM/BC	17856-6	215	Hgb A1c MFr Bld HPLC	Hemoglobin A1c/Hemoglobin.total in Blood by HPLC								
	DRUG/TOX	11253-2	216	Tacrolimus Bld-mCnc	Tacrolimus [Mass/volume] in Blood								
	CHEM	33903-6	217	Ketones Ur Ql	Ketones [Presence] in Urine								
	BLDBK	883-9	218	ABO Group Bld	ABO group [Type] in Blood								
	CHEM	2091-7	219	VLDLc SerPl-mCnc	Cholesterol in VLDL [Mass/volume] in Serum or Plasma								
	CHEM	2458-8	220	IgA Ser-mCnc	IgA [Mass/volume] in Serum								
	CHEM	2501-5	221	UIBC SerPl-mCnc	Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma								
	CHEM	32215-6	222	FTI SerPl-aCnc	Thyroxine (T4) free index in Serum or Plasma								
	CHEM	3053-6	223	T3 SerPl-mCnc	Triiodothyronine (T3) [Mass/volume] in Serum or Plasma								
	DRUG/TOX	18282-4	224	Cannabinoids Ur Ql Scn	Cannabinoids [Presence] in Urine by Screen method								
	HEM/BC	744-3	225	Monocytes NFr Bld Manual	Monocytes/100 leukocytes in Blood by Manual count								
	MICRO	5195-3	226	HBV surface Ag Ser Ql	Hepatitis B virus surface Ag [Presence] in Serum								
	BLDBK	1003-3	227	IAT Comp-Sp Reag SerPl Ql	Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma								
	HEM/BC	769-0	228	Neuts Seg NFr Bld Manual	Neutrophils.segmented/100 leukocytes in Blood by Manual count								
	HEM/BC	714-6	229	Eosinophil NFr Bld Manual	Eosinophils/100 leukocytes in Blood by Manual count								
	CHEM	15067-2	230	FSH SerPl-aCnc	Follitropin [Units/volume] in Serum or Plasma								
	CHEM	2243-4	231	Estradiol SerPl-mCnc	Estradiol (E2) [Mass/volume] in Serum or Plasma								
	MICRO	53927-0	232	N gonorrhoea rRNA Urth Ql PCR	Neisseria gonorrhoeae rRNA [Presence] in Urethra by Probe & target amplification method								
	MICRO	60256-5	233	N gonorrhoea rRNA Ur Ql PCR	Neisseria gonorrhoeae rRNA [Presence] in Urine by Probe & target amplification method								
	HEM/BC	702-1	234	Anisocytosis Bld Ql Smear	Anisocytosis [Presence] in Blood by Light microscopy								
	HEM/BC	707-0	235	Basophils NFr Bld Manual	Basophils/100 leukocytes in Blood by Manual count								
	MISC	19145-2	236	Ref Lab Test Name	Reference lab test name								
	CHEM	29265-6	237	Calcium Album cor SerPl-sCnc	Calcium [Moles/volume] corrected for albumin in Serum or Plasma								
	UA	5796-8	238	Hyaline Casts #/area UrnS LPF	Hyaline casts [#/area] in Urine sediment by Microscopy low power field								
	MICRO	5198-7	239	HCV Ab Ser EIA-aCnc	Hepatitis C virus Ab [Units/volume] in Serum by Immunoassay								
	CHEM	2731-8	240	PTH-Intact SerPl-mCnc	Parathyrin.intact [Mass/volume] in Serum or Plasma								
	CHEM	2465-3	241	IgG Ser-mCnc	IgG [Mass/volume] in Serum								
	MICRO	53925-4	242	C trach rRNA Urth Ql PCR	Chlamydia trachomatis rRNA [Presence] in Urethra by Probe & target amplification method								
	HEM/BC	774-0	243	Ovalocytes Bld Ql Smear	Ovalocytes [Presence] in Blood by Light microscopy								
	UA	12454-5	244	Amorph Urate Cry UrnS Ql Micro	Urate crystals amorphous [Presence] in Urine sediment by Light microscopy								
	HEM/BC	30341-2	245	ESR Bld Qn	Erythrocyte sedimentation rate								
	HEM/BC	798-9	246	RBC # Ur Auto	Erythrocytes [#/volume] in Urine by Automated count								
	BLDBK	1250-0	247	Maj XM SerPl-Imp	Major crossmatch [interpretation]								
	TUMRRGT	22634-0	248	Path report.gross Spec	Pathology report gross observation								
	CHEM	18262-6	249	LDLc SerPl Direct Assay-mCnc	Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay								
	MICRO	56598-6	250	EBV EA IgM Ser EIA-aCnc	Epstein Barr virus early IgM Ab [Units/volume] in Serum by Immunoassay								
	SERO	11572-5	251	Rheumatoid fact Ser-aCnc	Rheumatoid factor [Units/volume] in Serum								
	CHEM	19080-1	252	HCG SerPl-aCnc	Choriogonadotropin [Units/volume] in Serum or Plasma								
	ABXBACT	18998-5	253	TMP SMX Susc Islt	Trimethoprim+Sulfamethoxazole [Susceptibility]								
	MICRO	43304-5	254	C trach rRNA XXX Ql PCR	Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by Probe & target amplification method								
	BLDBK	10331-7	255	Rh Bld	Rh [Type] in Blood								
	MICRO	43305-2	256	N gonorrhoea rRNA XXX Ql PCR	Neisseria gonorrhoeae rRNA [Presence] in Unspecified specimen by Probe & target amplification method								
	MICRO	10701-1	257	O+P Stl Conc	Ova+Parasites identified in Stool by Concentration								
	SPEC	13362-9	258	Collect duration Time Ur	Collection duration of Urine								
	HEM/BC	11125-2	259	Plat morph Bld	Platelet morphology finding [Identifier] in Blood								
	HEM/BC	15180-3	260	Hypochromia Bld Ql Auto	Hypochromia [Presence] in Blood by Automated count								
	UA	12258-0	261	Squamous UrnS Ql HPF	Epithelial cells.squamous [Presence] in Urine sediment by Microscopy high power field								
	TUMRRGT	22633-2	262	Path report.site of origin Spec	Pathology report site of origin								
	CHEM	2472-9	263	IgM Ser-mCnc	IgM [Mass/volume] in Serum								
	SPEC	31208-2	264	Specimen source XXX	Specimen source [Identifier] of Unspecified specimen								
